stop_id,new_stop_id
4555,1010
4558,1011
4559,1012
4560,1013
4561,1014
4562,1015
4564,1016
4565,1017
4566,1018
4567,1019
4568,1020
4571,1021
4572,1022
4573,1023
4574,1024
4575,1025
4576,1026
4579,1027
4581,1028
4582,1029
4583,1030
4584,1031
4587,1032
4588,1033
4589,1034
4590,1035
4593,1036
4596,1037
4603,1038
4604,1039
4605,1040
4606,1041
4607,1042
4608,1043
4609,1044
4610,1045
4611,1046
4612,1047
4613,1048
4614,1049
4615,1050
4616,1051
4617,1052
4618,1053
4620,1054
4621,1055
4622,1056
4623,1057
4624,1058
4625,1059
4626,1060
4627,1061
4628,1062
4629,1063
4630,1064
4631,1065
4632,1066
4633,1067
4634,1068
4635,1069
4636,1070
4637,1071
4638,1072
4640,1073
4641,1074
4642,1075
4643,1076
4645,1077
4646,1078
4647,1079
4648,1080
4649,1081
4650,1082
4651,1083
4652,1084
4654,1085
4655,1086
4657,1087
4658,1088
4659,1089
4660,1090
4661,1091
4662,1092
4663,1093
4664,1094
4665,1095
4666,1096
4667,1097
4668,1098
4669,1099
4671,1100
4672,1101
4675,1102
4676,1103
4677,1104
4680,1105
4681,1106
4686,1107
4687,1108
4688,1109
4689,1110
4690,1111
4695,1112
4696,1113
4697,1114
4698,1115
4699,1116
4700,1117
4701,1118
4702,1119
4703,1120
4704,1121
4705,1122
4706,1123
4707,1124
4709,1125
4710,1126
4712,1127
4714,1128
4715,1129
4716,1130
4717,1131
4718,1132
4719,1133
4720,1134
4723,1135
4725,1136
4726,1137
4727,1138
4729,1139
4730,1140
4731,1141
4732,1142
4733,1143
4734,1144
4735,1145
4736,1146
4737,1147
4742,1148
4746,1149
4747,1150
4748,1151
4749,1152
4751,1153
4753,1154
4755,1155
4756,1156
4757,1157
4758,1158
4760,1159
4761,1160
4762,1161
4763,1162
4764,1163
4765,1164
4766,1165
4767,1166
4768,1167
4769,1168
4771,1169
4772,1170
4773,1171
4776,1172
4779,1173
4780,1174
4781,1175
4783,1176
4784,1177
4785,1178
4786,1179
4792,1180
4795,1181
4796,1182
4798,1183
4799,1184
4803,1185
4805,1186
4808,1187
4809,1188
4810,1189
4811,1190
4817,1191
4818,1192
4819,1193
4820,1194
4821,1195
4822,1196
4823,1197
4826,1198
4827,1199
4828,1200
4829,1201
4833,1202
4836,1203
4837,1204
4838,1205
4839,1206
4840,1207
4842,1208
4843,1209
4844,1210
4845,1211
4846,1212
4847,1213
4848,1214
4851,1215
4852,1216
4853,1217
4854,1218
4855,1219
4856,1220
4857,1221
4858,1222
4859,1223
4860,1224
4861,1225
4862,1226
4863,1227
4864,1228
4865,1229
4866,1230
4867,1231
4868,1232
4869,1233
4870,1234
4871,1235
4873,1236
4874,1237
4876,1238
4877,1239
4878,1240
4881,1241
4882,1242
4883,1243
4884,1244
4886,1245
4888,1246
4889,1247
4890,1248
4891,1249
4894,1250
4895,1251
4899,1252
4900,1253
4901,1254
4905,1255
4908,1256
4910,1257
4911,1258
4912,1259
4913,1260
4915,1261
4920,1262
4921,1263
4923,1264
4924,1265
4934,1266
4935,1267
4936,1268
4937,1269
4938,1270
4940,1271
4941,1272
4942,1273
4943,1274
4946,1275
4947,1276
4950,1277
4951,1278
4952,1279
4953,1280
4954,1281
4955,1282
